x,y,direction,numberOfCoins
453,253,RIGHT,1839047126
166,159,UP,1421355901
405,151,DOWN,1241238232
142,415,LEFT,991674349
312,202,RIGHT,577701150
383,359,DOWN,387265194
188,273,LEFT,1717983891
447,380,LEFT,1441109879
30,177,UP,591670793
246,268,RIGHT,1850802524
432,93,RIGHT,810563995
126,335,UP,882563287
335,204,UP,1616667670
21,293,DOWN,95245656
158,127,LEFT,1114689761
318,414,RIGHT,2088988329
362,247,LEFT,1604547022
103,290,UP,1010551871
398,142,DOWN,214639149
368,272,LEFT,502201092
149,138,LEFT,427002506
306,484,UP,1375802310
69,120,UP,1859325677
75,109,RIGHT,920194983
429,46,RIGHT,368944213
10,9,LEFT,1383107742
373,191,LEFT,1213394683
467,199,UP,1487078047
454,224,DOWN,1608625229
420,96,DOWN,1827534195
89,200,DOWN,394811760
222,2,RIGHT,816934007
188,89,DOWN,403659707
50,392,DOWN,625964208
34,388,UP,1931431976
1,153,UP,146415516
225,125,LEFT,518502966
4,117,LEFT,970903536
308,282,RIGHT,2016685036
174,230,LEFT,335659706
169,414,UP,1871738315
265,14,RIGHT,1075031500
253,144,DOWN,272505833
39,396,UP,1851857269
489,337,UP,2138428109
275,177,UP,2004243499
102,320,UP,1071357538
288,99,RIGHT,79370260
137,63,LEFT,1635038476
82,257,UP,1059085310
192,360,UP,1110731340
417,80,RIGHT,1664776746
124,238,DOWN,74022517
287,225,UP,2127609573
43,486,UP,633207889
174,361,LEFT,653180010
338,401,UP,1720527200
334,15,LEFT,1943582880
354,316,UP,581235714
114,402,DOWN,1158993990
477,127,RIGHT,2050901186
436,60,DOWN,2065672871
371,439,LEFT,1832724427
475,87,DOWN,1316382960
218,369,DOWN,282285099
232,294,DOWN,1276118945
12,404,RIGHT,577349897
266,98,DOWN,916736877
150,82,LEFT,1600329620
416,79,DOWN,1470723242
157,361,DOWN,49421266
438,414,LEFT,1394613691
245,424,DOWN,650709670
14,376,UP,549832576
247,284,DOWN,302762266
79,212,RIGHT,735084394
338,299,RIGHT,852616048
406,253,LEFT,1793766425
213,433,DOWN,1516281369
374,148,UP,1673685430
345,154,RIGHT,698718526
386,367,UP,1787294729
402,398,DOWN,1203726531
391,414,UP,765554036
5,273,LEFT,1249579677
317,481,DOWN,1983190431
19,396,DOWN,1057702653
145,404,LEFT,1491229951
430,124,UP,685470516
488,10,DOWN,1472071474
188,374,RIGHT,1043402485
249,483,LEFT,200531940
323,386,DOWN,374196934
350,366,RIGHT,556409953
342,112,LEFT,28787031
491,345,LEFT,1423184027
311,48,UP,50462982
171,476,LEFT,1712439651
478,79,LEFT,707663579
274,218,DOWN,535722513
340,83,RIGHT,979786245
149,197,DOWN,674766390
114,66,DOWN,2078958279
65,112,LEFT,637257127
159,400,DOWN,1985675770
326,142,UP,1308217095
1,183,LEFT,322554149
136,393,DOWN,1139810357
97,359,LEFT,1970827177
415,277,LEFT,1854389741
195,291,RIGHT,465445635
411,191,UP,148115740
223,63,RIGHT,1385919644
64,217,UP,1441229782
12,378,DOWN,42218289
175,9,UP,441391537
20,320,UP,476419359
181,439,UP,949079322
177,342,LEFT,479175055
30,336,RIGHT,1797773823
498,69,LEFT,215114787
400,138,UP,675716763
144,412,DOWN,1678068441
207,271,DOWN,122052120
265,298,LEFT,370132116
82,7,RIGHT,420804556
226,476,RIGHT,205174738
210,147,DOWN,2036426475
159,360,RIGHT,812247476
283,136,RIGHT,885299017
123,217,LEFT,2143772746
387,369,LEFT,2030602007
492,208,RIGHT,202746310
308,414,LEFT,1358409640
229,382,LEFT,1597113698
402,342,LEFT,284411017
233,484,DOWN,1143495676
446,493,UP,2062893081
186,271,RIGHT,1508683615
360,235,RIGHT,118910512
224,347,UP,211680077
192,337,UP,1928997710
387,271,DOWN,1291629310
496,206,LEFT,130390713
84,11,UP,682897107
58,350,UP,23462098
336,250,UP,1405128123
219,272,LEFT,1745354741
290,467,LEFT,756467442
289,46,RIGHT,1393089713
408,371,DOWN,32831463
252,218,LEFT,2008859055
347,354,RIGHT,1968390867
447,488,UP,1894095746
328,95,RIGHT,404911316
21,1,LEFT,1981604246
428,473,UP,131179507
73,475,DOWN,431076942
400,319,UP,856935934
139,44,LEFT,257830847
444,314,RIGHT,134880384
376,206,DOWN,1551329729
251,299,RIGHT,989041218
250,382,DOWN,1186353449
256,5,LEFT,1385666559
397,393,RIGHT,1115118318
64,52,LEFT,1334760806
150,366,DOWN,59927796
480,227,DOWN,1808361098
201,486,LEFT,1857381589
411,172,DOWN,205566753
123,100,LEFT,600322233
98,124,DOWN,1510590500
439,349,UP,256890796
278,489,LEFT,1571721806
458,103,LEFT,1506956028
498,193,LEFT,1698568053
411,11,DOWN,1830153392
21,253,RIGHT,320062797
472,312,LEFT,683827134
446,484,UP,785802307
137,98,RIGHT,1448310056
154,215,LEFT,1805880167
271,81,DOWN,2049360677
354,126,RIGHT,647134905
492,124,LEFT,146124697
419,348,DOWN,821284848
471,221,DOWN,2091793618
150,337,UP,1623114293
140,72,LEFT,2036118104
392,61,LEFT,1274097848
417,372,RIGHT,1474089984
231,443,LEFT,238335875
50,464,DOWN,2111147756
176,330,DOWN,367592717
169,332,UP,504851397
316,456,RIGHT,1954159557
143,336,DOWN,59167749
135,75,RIGHT,488098553
361,440,UP,2028642830
