x,y,direction,numberOfCoins,yToAssign,expectedResultY
23,0,DOWN,1841726593,253,253
66,1,DOWN,1841726593,2,3
22,499,DOWN,1841726593,1,499
100,0,DOWN,1841726593,-1,0
163,309,LEFT,2124824825,206,499
381,467,RIGHT,1087058796,84,499
99,401,DOWN,1257968035,484,499
350,484,UP,1892288181,-437,47
156,107,RIGHT,1861797083,120,227
100,156,DOWN,1610198027,-115,41
10,346,DOWN,2021570188,409,499
238,119,RIGHT,943740031,-230,0
381,3,RIGHT,1179493466,-485,0
199,261,UP,461774053,145,406
93,116,DOWN,669754452,232,348
215,103,UP,623798543,-11,92
123,90,DOWN,813482135,312,402
73,320,RIGHT,1933171916,179,499
284,78,DOWN,1860413830,-442,0
219,426,RIGHT,1381499012,40,466
192,100,UP,455116347,-458,0
399,419,UP,931758266,-128,291
284,136,RIGHT,99986161,-446,0
71,423,DOWN,1423987570,77,499
219,57,UP,1949029753,-221,0
354,60,LEFT,1090266557,289,349
45,451,DOWN,1357938559,-260,191
372,427,UP,1861851752,371,499
117,423,UP,1805601023,300,499
199,137,DOWN,649981554,127,264
403,56,DOWN,1318650800,118,174
459,99,RIGHT,283698425,385,484
310,190,UP,1604109719,-276,0
412,459,UP,1690436485,-26,433
61,201,RIGHT,1917178930,201,402
147,28,DOWN,622573600,88,116
121,451,UP,25985667,-95,356
475,133,DOWN,1915239591,-357,0
96,136,RIGHT,2015573845,382,499
393,147,DOWN,1153126535,450,499
260,115,LEFT,475519569,429,499
447,103,LEFT,1852773626,56,159
94,266,DOWN,1668103491,-349,0
227,220,LEFT,1947267289,-338,0
242,401,UP,1379228327,-330,71
314,340,DOWN,613384825,-144,196
134,62,DOWN,198491435,66,128
397,14,UP,1851018710,-50,0
259,54,UP,1005198567,-460,0
139,198,LEFT,1698338530,448,499
298,376,UP,507321896,426,499
267,62,DOWN,542207881,307,369
43,113,LEFT,892503586,495,499
397,169,LEFT,2032952795,332,499
319,163,RIGHT,1325101019,-249,0
110,349,LEFT,1786636060,246,499
294,203,DOWN,1626032646,-53,150
290,34,RIGHT,737934574,-114,0
166,494,LEFT,1308316632,348,499
432,316,DOWN,869265885,-217,99
348,188,UP,1982305185,30,218
486,453,RIGHT,591444008,-344,109
497,131,DOWN,448885991,-4,127
447,310,UP,1853532937,-22,288
74,12,LEFT,1780730250,246,258
196,421,LEFT,877532342,-109,312
436,349,RIGHT,2108933198,-350,0
192,438,LEFT,259942705,383,499
16,198,RIGHT,1037996013,-443,0
198,396,UP,1100351894,208,499
247,53,LEFT,641623316,164,217
83,214,DOWN,751097575,-462,0
222,129,LEFT,358818646,-177,0
124,130,LEFT,1800343212,267,397
135,486,UP,1287607062,73,499
29,16,DOWN,656006119,485,499
397,391,DOWN,1053525806,-159,232
236,382,UP,1741379772,356,499
137,306,UP,2139744640,204,499
421,458,LEFT,890113901,-273,185
29,335,DOWN,1653274314,-436,0
383,8,LEFT,1228711217,355,363
360,50,RIGHT,30497529,497,499
81,250,UP,574688125,-368,0
56,359,LEFT,2132446406,-131,228
141,465,DOWN,855233229,-392,73
329,51,LEFT,1208826389,-168,0
192,347,UP,2056039256,176,499
353,69,UP,1971808491,-327,0
48,157,DOWN,756267153,453,499
186,352,UP,549440214,-197,155
361,84,DOWN,477619990,-487,0
159,459,UP,1450480054,-292,167
425,419,DOWN,482295584,59,478
425,354,DOWN,1740302627,58,412
460,132,UP,553105815,-149,0
448,327,LEFT,1601376069,-239,88
388,213,UP,1153283181,-494,0
67,268,LEFT,1179739088,-90,178
195,130,LEFT,1013905557,165,295
27,10,DOWN,1407992855,394,404
291,420,LEFT,1797447905,325,499
442,223,RIGHT,836977384,28,251
142,358,LEFT,252475470,-89,269
339,492,RIGHT,1898237523,-460,32
