x,y,direction,numberOfCoins,coinsToAssign,expectedResultCoins
41,229,RIGHT,22,12,34
41,229,RIGHT,0,11,11
41,229,RIGHT,0,-5,0
41,229,RIGHT,13,-7,6
41,229,RIGHT,13,0,13
41,229,RIGHT,0,0,0
41,229,RIGHT,2147483640,7,2147483647
80,297,DOWN,226039958,1730497552,1956537510
265,67,UP,740560320,1298166147,2038726467
134,87,LEFT,1230872807,-114215659,1116657148
315,193,UP,1795901181,-1263425686,532475495
230,180,UP,543248275,713185007,1256433282
412,485,RIGHT,1309517986,-1018078119,291439867
489,453,LEFT,807953846,958582722,1766536568
306,232,LEFT,1890060742,-1822390402,67670340
373,239,DOWN,1184199013,-1678021443,0
306,134,LEFT,314941231,-1513302219,0
79,302,DOWN,1233722154,-1209824606,23897548
287,13,DOWN,227719170,-1392095393,0
137,347,DOWN,2135095690,-795619375,1339476315
13,430,RIGHT,734735613,-91637923,643097690
344,278,DOWN,1417483126,-1777908617,0
290,476,UP,1350308911,-1511015226,0
73,491,DOWN,503102464,-69599645,433502819
39,156,LEFT,2117017546,-1594419769,522597777
319,275,UP,1550235928,-1078024480,472211448
423,272,DOWN,1581055262,-513882750,1067172512
116,471,RIGHT,452204993,-1311174745,0
59,409,UP,932236523,-960564382,0
451,8,DOWN,647075417,-815308643,0
158,354,LEFT,548340154,777907816,1326247970
311,97,RIGHT,1184965995,-504161109,680804886
176,400,UP,1989242993,-485563754,1503679239
103,455,DOWN,1429288514,323165649,1752454163
426,147,RIGHT,643737628,574135712,1217873340
275,293,UP,1907454291,-1490099583,417354708
385,209,LEFT,51843278,-1062154865,0
382,445,UP,1942632417,-500252072,1442380345
27,126,UP,1749111097,-2067025248,0
344,4,UP,1644060728,437415120,2081475848
220,495,RIGHT,1589042613,-1267286440,321756173
379,288,DOWN,1789257878,-15208340,1774049538
82,356,DOWN,335148116,319563529,654711645
270,29,RIGHT,2136290251,-1078753658,1057536593
42,241,DOWN,184083812,-408637288,0
321,332,LEFT,1298360471,-518952506,779407965
231,338,RIGHT,67311294,1863156061,1930467355
214,91,UP,380671734,317440116,698111850
180,490,RIGHT,1514983089,-1883572661,0
202,39,LEFT,1037812159,1037255322,2075067481
275,215,LEFT,1745566623,-463590951,1281975672
233,377,DOWN,1827041637,-693119540,1133922097
13,275,DOWN,1485994813,-751363639,734631174
56,299,LEFT,170469407,-1076286047,0
129,247,LEFT,1485328231,218138014,1703466245
161,274,UP,485843042,697236121,1183079163
442,423,RIGHT,1874460523,-75127951,1799332572
117,427,RIGHT,521820772,-789888211,0
344,281,LEFT,834005234,520450697,1354455931
260,320,LEFT,865672567,-854490589,11181978
1,388,DOWN,1071619800,73622511,1145242311
312,104,LEFT,236151216,-1873155063,0
481,121,LEFT,1631208229,-1242909712,388298517
488,431,LEFT,1156958095,254278774,1411236869
324,184,RIGHT,595915762,308931364,904847126
248,488,LEFT,2132315104,-1132291173,1000023931
217,129,UP,1180012844,-531796916,648215928
467,208,RIGHT,1428991715,-1379527931,49463784
175,37,LEFT,1110217717,-712541967,397675750
482,210,LEFT,968457769,-16670572,951787197
42,422,DOWN,2019406872,-1624867910,394538962
480,180,DOWN,1709128121,43587397,1752715518
484,460,UP,2032807540,-771904609,1260902931
36,147,DOWN,1197525246,-669187307,528337939
488,222,UP,833845564,-1546243298,0
481,295,LEFT,326239146,275307150,601546296
460,494,LEFT,92845720,-1718807880,0
268,457,RIGHT,1269259091,12116746,1281375837
171,317,UP,2040394913,-1843236499,197158414
135,254,DOWN,1564133937,108389435,1672523372
266,353,DOWN,415888325,-313208594,102679731
339,1,UP,1675749922,-1630106421,45643501
231,84,LEFT,1206787830,419906206,1626694036
249,322,DOWN,1992995047,-940760240,1052234807
324,207,LEFT,31767609,79616204,111383813
417,47,RIGHT,1799342145,-2019364421,0
116,385,DOWN,181299769,-123170519,58129250
455,471,RIGHT,1625241840,372117514,1997359354
157,35,RIGHT,688196810,-1843883868,0
51,328,DOWN,1897298598,-1227786770,669511828
79,496,DOWN,1106061914,-1972368256,0
210,346,RIGHT,1733520261,176320822,1909841083
76,26,RIGHT,891787236,1213499479,2105286715
30,73,UP,836020068,-1973895973,0
52,168,UP,1887122803,-1499982357,387140446
182,137,LEFT,96070005,-361016224,0
69,486,LEFT,1590472812,90657527,1681130339
497,104,DOWN,778990754,-386218875,392771879
470,43,DOWN,1779839244,-1776538946,3300298
259,438,LEFT,2092010583,-2129190181,0
293,256,UP,822649735,-268427438,554222297
252,364,UP,319591438,-1898426387,0
496,174,RIGHT,2037938057,-1430773205,607164852
258,201,DOWN,1017417370,291105862,1308523232
472,349,LEFT,1433741206,-2032021591,0
3,300,LEFT,501349393,1376621907,1877971300
225,172,DOWN,1546728289,-1170720321,376007968
132,384,DOWN,1467449486,-418000839,1049448647
52,25,RIGHT,936187219,438243682,1374430901
465,359,LEFT,1179882723,-1649913546,0
26,484,LEFT,1506629067,-470990162,1035638905
199,216,RIGHT,1395214285,-2083850350,0
31,173,RIGHT,2116092362,-948329310,1167763052
92,161,LEFT,1382820725,-1164321282,218499443
209,401,RIGHT,1625829119,-613043648,1012785471
41,6,LEFT,1810895686,62129451,1873025137
152,109,DOWN,837595919,-1419648836,0
345,222,UP,691404704,682142821,1373547525
272,210,UP,1534067036,-651857538,882209498
279,484,UP,1866519543,-153430088,1713089455
38,442,UP,1933542863,-140041527,1793501336
225,365,LEFT,2065372859,-284150679,1781222180
205,446,LEFT,1717521558,68569913,1786091471
336,495,RIGHT,146171859,-2037637766,0
215,237,LEFT,2147333609,-354946609,1792387000
220,30,DOWN,355147621,-506006374,0
3,448,LEFT,130628494,-437713174,0
59,132,DOWN,1295322215,-1519964596,0
229,32,LEFT,1011979457,-1012219223,0
263,389,UP,1376588931,-573812754,802776177
133,17,UP,1855628203,74210019,1929838222
153,349,LEFT,1690004328,-1113821609,576182719
183,143,UP,2050078739,-894673426,1155405313
421,21,UP,597281199,-1887829111,0
3,198,RIGHT,256102414,-249964948,6137466
206,190,DOWN,304303559,1230219264,1534522823
80,382,LEFT,1288561915,-475155715,813406200
386,179,UP,1799003154,-321223733,1477779421
270,459,RIGHT,1091672770,439442807,1531115577
273,297,DOWN,1204293941,608287580,1812581521
143,391,DOWN,1468801183,-415646071,1053155112
263,344,DOWN,1161148983,-1275277619,0
409,49,DOWN,1777803300,-908950730,868852570
336,357,UP,264479601,-111409351,153070250
249,47,LEFT,927809761,1134478839,2062288600
441,475,DOWN,164654581,1315794611,1480449192
134,40,UP,911527213,787509368,1699036581
428,272,RIGHT,60094895,542649043,602743938
290,287,DOWN,446682542,392347068,839029610
242,416,LEFT,122223813,902934257,1025158070
21,283,DOWN,720568297,677934377,1398502674
389,479,DOWN,1302633362,706459306,2009092668
166,328,UP,1246881737,220864180,1467745917
214,403,LEFT,175887557,125426024,301313581
273,279,UP,1618899433,-1670522064,0
309,316,LEFT,2147144244,-1474494,2145669750
145,382,LEFT,418700215,-1719427114,0
474,320,RIGHT,679248932,-534230437,145018495
175,35,LEFT,2095228393,-542376409,1552851984
100,120,RIGHT,1958007809,-1029333577,928674232
108,2,DOWN,1519468078,-1661673911,0
171,15,LEFT,1365064175,331164036,1696228211
133,22,UP,293233363,-963809373,0
175,56,RIGHT,1881468264,-156614423,1724853841
409,437,DOWN,1066870859,-1428224078,0
163,473,LEFT,236531353,-1939955727,0
241,109,RIGHT,1478681172,319010779,1797691951
86,396,RIGHT,1285851427,299236569,1585087996
238,359,UP,607151867,-180716885,426434982
103,487,DOWN,1846689106,-1804501112,42187994
46,74,DOWN,1046065723,-483171746,562893977
295,57,DOWN,2101689940,-986888276,1114801664
21,336,DOWN,1848573368,-1610115764,238457604
241,249,DOWN,887901346,412364268,1300265614
460,313,RIGHT,256017027,-1686934394,0
455,274,DOWN,78988773,1061532656,1140521429
430,168,UP,990670981,724376128,1715047109
244,364,DOWN,882432689,-988747493,0
143,289,UP,1665082801,-405615258,1259467543
171,252,LEFT,548385514,-1778322400,0
493,250,RIGHT,672691896,-563445976,109245920
113,32,RIGHT,1538744766,-1241533937,297210829
309,203,UP,1156114991,-476636554,679478437
201,18,RIGHT,583792109,-1376813250,0
359,200,LEFT,791621384,1058632810,1850254194
275,384,DOWN,1703676803,-869480307,834196496
425,313,LEFT,525563311,-299518164,226045147
489,69,DOWN,1114362119,402543327,1516905446
207,341,DOWN,89957468,1468519389,1558476857
85,17,RIGHT,165351126,653148408,818499534
53,380,UP,1097469539,186792128,1284261667
287,64,UP,829757748,56158166,885915914
142,315,UP,736468540,166038681,902507221
341,128,DOWN,1870886975,31706880,1902593855
51,227,RIGHT,385827508,-1737929574,0
138,464,UP,812094899,223211362,1035306261
281,135,UP,1936827579,-665679142,1271148437
295,165,UP,1588022272,-1744367059,0
478,446,DOWN,567622068,1203849077,1771471145
109,224,DOWN,1446021873,582580124,2028601997
48,200,UP,565644859,-568321027,0
201,1,DOWN,1032894320,620132215,1653026535
110,355,UP,349213669,-127967380,221246289
455,207,LEFT,2039082542,-991038073,1048044469
169,94,UP,784111311,-585999173,198112138
293,66,LEFT,2030593598,-1123452389,907141209
297,22,DOWN,1599446245,-1645180234,0
